Title,Year,Genres,Rating,Votes,Type
Black Book,2006,"Drama,Thriller,War",7.7,83618,movie
30 Days of Night,2007,"Horror,Thriller",6.6,200196,movie
Bee Movie,2007,"Adventure,Animation,Comedy",6.1,195480,movie
Click,2006,"Comedy,Drama,Fantasy",6.4,384649,movie
Friday Night Lights,2004,"Action,Drama,Sport",7.2,70519,movie
Primer,2004,"Drama,Sci-Fi,Thriller",6.7,120951,movie
Super Size Me,2004,Documentary,7.2,116524,movie
The Grudge,2004,"Horror,Mystery,Thriller",5.9,157682,movie
A Lot Like Love,2005,"Comedy,Drama,Romance",6.6,73348,movie
Brick,2005,"Crime,Drama,Mystery",7.1,113816,movie
Coach Carter,2005,"Biography,Drama,Sport",7.4,190987,movie
Hotel Rwanda,2004,"Biography,Drama,History",8.1,390660,movie
The Devil's Rejects,2005,"Crime,Drama,Horror",6.7,110719,movie
The Pacifier,2005,"Action,Comedy,Drama",5.6,106382,movie
CSI: NY,2004,"Action,Crime,Drama",7.0,51567,tvSeries
Perfume: The Story of a Murderer,2006,"Crime,Drama,Fantasy",7.5,278148,movie
Wedding Crashers,2005,"Comedy,Romance",7.0,396113,movie
Meet the Robinsons,2007,"Adventure,Animation,Comedy",6.8,120876,movie
Nanny McPhee,2005,"Comedy,Family,Fantasy",6.6,91127,movie
House of Wax,2005,"Horror,Thriller",5.5,144571,movie
Just My Luck,2006,"Comedy,Fantasy,Romance",5.5,65658,movie
The Skeleton Key,2005,"Drama,Horror,Mystery",6.5,131047,movie
American Dad!,2005,"Animation,Comedy",7.4,143736,tvSeries
Eight Below,2006,"Adventure,Drama,Family",7.3,71499,movie
Gossip Girl,2007,"Drama,Romance",7.5,213354,tvSeries
Memoirs of a Geisha,2005,"Drama,Romance",7.3,172089,movie
Bolt,2008,"Adventure,Animation,Comedy",6.8,246354,movie
Derailed,2005,"Crime,Drama,Thriller",6.6,78791,movie
The Longest Yard,2005,"Comedy,Crime,Sport",6.4,210114,movie
Tangled,2010,"Adventure,Animation,Comedy",7.7,540972,movie
Rumor Has It...,2005,"Comedy,Drama,Romance",5.5,65128,movie
Assault on Precinct 13,2005,"Action,Crime,Drama",6.3,84260,movie
Bridge to Terabithia,2007,"Drama,Family,Fantasy",7.2,189802,movie
A History of Violence,2005,"Action,Crime,Drama",7.4,271575,movie
The Island,2005,"Action,Sci-Fi,Thriller",6.8,341107,movie
Lord of War,2005,"Crime,Drama",7.6,357243,movie
Herbie: Fully Loaded,2005,"Adventure,Comedy,Family",4.9,54084,movie
Open Season,2006,"Adventure,Animation,Comedy",6.1,113461,movie
The Diving Bell and the Butterfly,2007,"Biography,Drama",8.0,112713,movie
A Good Year,2006,"Comedy,Drama,Romance",6.9,106647,movie
"Paris, Je T'aime",2006,"Comedy,Drama,Romance",7.2,76292,movie
John Carter,2012,"Action,Adventure,Sci-Fi",6.6,298079,movie
Sin City,2005,"Crime,Thriller",8.0,818735,movie
Underworld: Evolution,2006,"Action,Fantasy,Thriller",6.7,217213,movie
Breach,2007,"Biography,Crime,Drama",7.0,63786,movie
Æon Flux,2005,"Action,Adventure,Sci-Fi",5.4,136682,movie
The New World,2005,"Biography,Drama,History",6.7,93475,movie
Boston Legal,2004,"Comedy,Crime,Drama",8.5,53262,tvSeries
Casanova,2005,"Adventure,Comedy,Drama",6.5,58073,movie
