Title,Year,Genres,Rating,Votes,Type,Popularity,Decade
Chocolat,2000,"Drama,Romance",7.2,209745,movie,88.22626406023004,2000
Harry Potter and the Sorcerer's Stone,2001,"Adventure,Family,Fantasy",7.7,944458,movie,105.93942202661125,2000
"Dude, Where's My Car?",2000,"Comedy,Mystery,Sci-Fi",5.5,152139,movie,65.62902420599967,2000
Hera Pheri,2000,"Action,Comedy,Crime",8.2,80077,movie,92.58410039614918,2000
The Matrix Revolutions,2003,"Action,Sci-Fi",6.7,572868,movie,88.83135103786417,2000
Waking Life,2001,"Animation,Drama,Fantasy",7.6,69317,movie,84.71298553658147,2000
The Man Who Wasn't There,2001,"Crime,Drama",7.5,120022,movie,87.71572753720511,2000
Bridget Jones's Diary,2001,"Comedy,Drama,Romance",6.8,285603,movie,85.42403449243973,2000
Stuart Little 2,2002,"Adventure,Comedy,Family",5.5,61623,movie,60.65834751051505,2000
Wet Hot American Summer,2001,"Comedy,Romance",6.5,63535,movie,71.88575039190113,2000
40 Days and 40 Nights,2002,"Comedy,Romance",5.6,78306,movie,63.10292524141526,2000
Swordfish,2001,"Action,Crime,Thriller",6.5,202856,movie,79.43163570357238,2000
Star Trek: Enterprise,2001,"Action,Adventure,Drama",7.6,63848,tvSeries,84.08838008542442,2000
Spirited Away,2001,"Adventure,Animation,Family",8.6,958116,movie,118.44542756287237,2000
Windtalkers,2002,"Action,Drama,War",6.1,76962,movie,68.63150914242023,2000
Y Tu Mamá También,2001,Drama,7.7,140084,movie,91.24498091680826,2000
Thir13en Ghosts,2001,"Fantasy,Horror",5.6,100521,movie,64.50148286331145,2000
Joe Dirt,2001,"Adventure,Comedy,Drama",6.0,65111,movie,66.50309270842101,2000
Amores Perros,2000,"Drama,Thriller",8.0,271811,movie,100.10289800651812,2000
Bulletproof Monk,2003,"Action,Comedy,Fantasy",5.5,53821,movie,59.91380452508905,2000
The Count of Monte Cristo,2002,"Action,Adventure,Drama",7.7,158954,movie,92.21805000999811,2000
Die Another Day,2002,"Action,Adventure,Thriller",6.1,239471,movie,75.55574437773065,2000
Donnie Darko,2001,"Drama,Mystery,Sci-Fi",8.0,906635,movie,109.73996178018831,2000
CSI: Crime Scene Investigation,2000,"Crime,Drama,Mystery",7.7,93720,tvSeries,88.15011507318734,2000
Nine Queens,2000,"Crime,Drama,Thriller",7.9,62276,movie,87.21071804269558,2000
The Princess Diaries,2001,"Comedy,Family,Romance",6.4,180488,movie,77.46188526432377,2000
Super Troopers,2001,"Comedy,Crime,Mystery",7.0,118214,movie,81.76176274179684,2000
Kabhi Khushi Kabhie Gham...,2001,"Drama,Musical,Romance",7.5,62592,movie,82.83294565045867,2000
Six Feet Under,2001,"Comedy,Drama",8.7,166614,tvSeries,104.60388483753997,2000
Ali,2001,"Biography,Drama,Sport",6.7,109907,movie,77.7695118786266,2000
Billy Elliot,2000,"Drama,Music",7.7,151221,movie,91.83403168918663,2000
Asterix & Obelix: Mission Cleopatra,2002,"Adventure,Comedy,Family",6.7,62622,movie,74.00064195142232,2000
The Experiment,2001,"Drama,Thriller",7.7,98670,movie,88.54642895445434,2000
Legally Blonde,2001,"Comedy,Romance",6.5,281403,movie,81.55903004981165,2000
Rat Race,2001,"Action,Adventure,Comedy",6.5,129927,movie,76.53573221615368,2000
Unfaithful,2002,"Drama,Romance,Thriller",6.7,106851,movie,77.5805771514397,2000
Evolution,2001,"Comedy,Sci-Fi",6.1,142420,movie,72.38586787697031,2000
Hart's War,2002,"Drama,War",6.4,57668,movie,70.15972931796348,2000
How to Lose a Guy in 10 Days,2003,"Comedy,Romance",6.5,317624,movie,82.34605321962971,2000
John Q,2002,"Crime,Drama,Thriller",7.1,152902,movie,84.75662255316202,2000
House of 1000 Corpses,2003,Horror,6.0,99662,movie,69.05723843919611,2000
Maid in Manhattan,2002,"Comedy,Drama,Romance",5.4,101938,movie,62.273448347315146,2000
American Pie 2,2001,Comedy,6.5,285658,movie,81.65657870540207,2000
The Pianist,2002,"Biography,Drama,Music",8.5,1005347,movie,117.47716816486842,2000
Reign of Fire,2002,"Action,Adventure,Fantasy",6.2,152125,movie,73.98123854779693,2000
Star Trek: Nemesis,2002,"Action,Adventure,Sci-Fi",6.4,87583,movie,72.83419004265409,2000
The Sweetest Thing,2002,"Comedy,Romance",5.2,65708,movie,57.68347500583768,2000
The Piano Teacher,2001,"Drama,Music,Romance",7.5,79836,movie,84.65797357147416,2000
The Animal,2001,"Comedy,Sci-Fi",4.9,67263,movie,54.47019137792965,2000
The Devil's Backbone,2001,"Drama,Horror,Thriller",7.3,75200,movie,81.9637175225469,2000
Shallow Hal,2001,"Comedy,Drama,Fantasy",6.0,153460,movie,71.64717135438994,2000
Sweet Home Alabama,2002,"Comedy,Romance",6.2,133457,movie,73.1695145668699,2000
Road to Perdition,2002,"Crime,Drama,Thriller",7.6,299483,movie,95.83457829579987,2000
S.W.A.T.,2003,"Action,Adventure,Crime",6.1,159526,movie,73.0777694036937,2000
Scary Movie 2,2001,"Comedy,Horror",5.4,191020,movie,65.66472043337913,2000
About Schmidt,2002,Drama,7.2,137787,movie,85.2009429131193,2000
High Crimes,2002,"Crime,Drama,Mystery",6.4,51410,movie,69.42456310431713,2000
Panic Room,2002,"Crime,Drama,Thriller",6.8,313368,movie,86.05490778474069,2000
S1m0ne,2002,"Comedy,Drama,Sci-Fi",6.1,64120,movie,67.51792080101329,2000
The Bourne Identity,2002,"Action,Mystery,Thriller",7.8,610531,movie,103.9122579244972,2000
Ghost Rider,2007,"Action,Fantasy,Thriller",5.3,267651,movie,66.2364276117973,2000
My Big Fat Greek Wedding,2002,"Comedy,Drama,Romance",6.6,150806,movie,78.69674684231505,2000
Vanilla Sky,2001,"Fantasy,Mystery,Romance",6.9,307011,movie,87.17900811016966,2000
Don't Say a Word,2001,"Drama,Mystery,Thriller",6.3,65812,movie,69.8957120704912,2000
Jay and Silent Bob Strike Back,2001,Comedy,6.8,166032,movie,81.7355635749464,2000
Session 9,2001,"Drama,Horror,Mystery",6.4,66828,movie,71.10321557361708,2000
Black Books,2000,Comedy,8.4,64220,tvSeries,92.98858772820545,2000
Jeepers Creepers,2001,"Horror,Mystery",6.2,156550,movie,74.15901050587823,2000
Uptown Girls,2003,"Comedy,Drama,Romance",6.3,51981,movie,68.40939134092741,2000
Curb Your Enthusiasm,2000,Comedy,8.8,165431,tvSeries,105.74352332223329,2000
Basic,2003,"Crime,Drama,Mystery",6.4,69489,movie,71.35311197212823,2000
Catch Me If You Can,2002,"Biography,Crime,Drama",8.1,1224004,movie,113.54286788118569,2000
Changing Lanes,2002,"Drama,Thriller",6.5,77657,movie,73.19037032199223,2000
Frailty,2001,"Crime,Drama,Thriller",7.2,99066,movie,82.82549933035119,2000
Murder by Numbers,2002,"Crime,Mystery,Thriller",6.2,66141,movie,68.81717345636356,2000
America's Sweethearts,2001,"Comedy,Romance",5.7,62740,movie,62.96650054594461,2000
Black Hawk Down,2001,"Action,Drama,History",7.7,452200,movie,100.26847475896025,2000
The Girl Next Door,2004,"Comedy,Drama,Romance",6.7,261396,movie,83.57440491150359,2000
The Mothman Prophecies,2002,"Drama,Horror,Mystery",6.4,89239,movie,72.95407003357661,2000
One Hour Photo,2002,"Drama,Thriller",6.8,139259,movie,80.53981735607363,2000
The Royal Tenenbaums,2001,"Comedy,Drama",7.6,332503,movie,96.62947162811237,2000
Battle Royale,2000,"Action,Drama,Thriller",7.5,206330,movie,91.77924080834457,2000
A Man Apart,2003,"Action,Crime,Drama",6.0,51075,movie,65.04630251811494,2000
Duplex,2003,Comedy,5.9,65352,movie,65.41650560582806,2000
Finding Nemo,2003,"Adventure,Animation,Comedy",8.2,1199565,movie,114.77925030212161,2000
Kill Bill: Vol. 1,2003,"Action,Crime,Thriller",8.2,1297388,movie,115.4220812776945,2000
Rush Hour 2,2001,"Action,Comedy,Crime",6.7,258747,movie,83.50616039625375,2000
Spy Game,2001,"Action,Crime,Thriller",7.1,177174,movie,85.80270181463015,2000
K-19: The Widowmaker,2002,"Drama,History,Thriller",6.7,71780,movie,74.91511980350072,2000
The One,2001,"Action,Sci-Fi,Thriller",5.9,99576,movie,67.9011910590168,2000
Scooby-Doo,2002,"Adventure,Comedy,Family",5.4,139501,movie,63.96746606285389,2000
Adaptation.,2002,"Comedy,Drama",7.6,213263,movie,93.25413882854743,2000
Ice Age,2002,"Adventure,Animation,Comedy",7.5,560993,movie,99.28097780031469,2000
The Time Machine,2002,"Action,Adventure,Sci-Fi",6.0,135480,movie,70.89947584159025,2000
